년,월,일,날짜,발생 해역,적조종,밀도,최저 밀도,최대 밀도,수온,최저 수온,최대 수온,염분,,
2022,9,24,2022-9-24,경남 통영시 사량도 동남측 해역,Cochlodinium polykrikoides,0.0 ~ 1.0,0,1,23.4 ~ 23.8,23.4,23.8,32.4 ~ 32.4,32.4,32.4
2022,9,25,2022-9-25,경남 통영시 사량도 서남측 해역,Cochlodinium polykrikoides,0.0 ~ 1.0,0,1,23.2 ~ 23.3,23.2,23.3,31.2 ~ 31.4,31.2,31.4
2022,9,21,2022-9-21,경남 통영시 사량도 주변 해역,Cochlodinium polykrikoides,0.0 ~ 1.0,0,1,23.6 ~ 24.5,23.6,24.5,32.0 ~ 32.3,32,32.3
2022,8,31,2022-8-31,경남 통영시 사량도 주변해역,Cochlodinium polykrikoides,250.0 ~ 270.0,250,270,22.3 ~ 22.7,22.3,22.7,31.6 ~ 32.6,31.6,32.6
2018,8,6,2018-8-6,"경남 통영시 산양 궁항, 명지",Cochlodinium polykrikoides,30.0 ~ 350.0,30,350,24.7 ~ 29.5,24.7,29.5,29.5 ~ 30.5,29.5,30.5
2015,8,4,2015-8-4,"경남 통영시 산양 오비 ~ 삼덕 ~ 곤리 , 비진도 ~ 용초도~장사도",Cochlodinium polykrikoides,30.0 ~ 650.0,30,650,19.6 ~ 25.6,19.6,25.6,,,
2015,8,3,2015-8-3,"경남 통영시 산양 오비도~곤리, 추도, 비진도~오곡도",Cochlodinium polykrikoides,5.0 ~ 500.0,5,500,21.2 ~ 25.6,21.2,25.6,,,
2018,8,7,2018-8-7,경남 통영시 산양∼사량,Cochlodinium polykrikoides,10.0 ~ 350.0,10,350,23.9 ~ 29.8,23.9,29.8,30.5 ~ 31.5,30.5,31.5
2018,7,31,2018-7-31,"경남 통영시 산양면, 욕지부근 해역",Cochlodinium polykrikoides,10.0 ~ 700.0,10,700,24.2 ~ 26.7,24.2,26.7,29.9 ~ 31.1,29.9,31.1
2022,9,22,2022-9-22,경남 통영시 수우도 남측 주변 해역,Cochlodinium polykrikoides,0.0 ~ 1.0,0,1,24.2 ~ 24.6,24.2,24.6,32.2 ~ 32.5,32.2,32.5
2018,8,1,2018-8-1,경남 통영시 해역,Cochlodinium polykrikoides,100.0 ~ 1000.0,100,1000,23.1 ~ 27.9,23.1,27.9,29.2 ~ 32.6,29.2,32.6
2015,8,24,2015-8-24,"고성(삼산~사량), 통영 산양~한산(곡룡포~송도), 추도~연화도, 사량 답포",Cochlodinium polykrikoides,160.0 ~ 3000.0,160,3000,23.2 ~ 24.7,23.2,24.7,,,
2015,8,23,2015-8-23,"고성(삼산~사량), 통영 산양~한산(곡룡포~송도), 추도~욕지도",Cochlodinium polykrikoides,820.0 ~ 13760.0,820,13760,23.1 ~ 25.0,23.1,25,,,
2015,8,19,2015-8-19,"고성(하이 덕명~삼산 두포), 사량 내지, 통영 산양 오비~한산 곡룡포, 욕지도",Cochlodinium polykrikoides,280.0 ~ 7600.0,280,7600,21.8 ~ 24.0,21.8,24,,,
